term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
DCN,6.269592476489028,0.054498545594214375,0.1815676933527453,-2.3004415128824665,6.693321524842192,"['Streptococcus', 'Porphyromonas']",2
MARCO,11.494252873563218,0.004812986635163423,0.03993226330851717,-1.246993054091416,6.654500453053517,"['Streptococcus', 'Haemophilus', 'Neisseria']",3
MPO,4.497751124437781,0.005120294848375473,0.04167531123424594,-1.2568210953436036,6.629157229948959,"['Campylobacter', 'Aggregatibacter', 'Streptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas']",6
CCL21,4.179728317659352,0.024434686395133437,0.11681415131651153,-1.7541065827478446,6.51080788454771,"['Streptococcus', 'Porphyromonas', 'Haemophilus', 'Aggregatibacter']",4
CST3,17.24137931034483,0.001973916125825728,0.023504223498258207,-1.02803196928559,6.402311527781868,"['Porphyromonas', 'Aggregatibacter', 'Neisseria']",3
CTSK,6.896551724137931,0.047054187999024985,0.16443392871398405,-2.0936909218823945,6.399272935095818,"['Porphyromonas', 'Aggregatibacter']",2
LY96,6.896551724137931,0.005462488408278602,0.0436320502673682,-1.2242288049152694,6.3780494683952895,"['Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",4
BPI,6.63129973474801,0.002341131577465047,0.02595426903982802,-1.0425931828652553,6.3151129439372555,"['Campylobacter', 'Aggregatibacter', 'Streptococcus', 'Haemophilus', 'Neisseria']",5
IL13,5.305039787798409,0.002498195385241147,0.027226095469661992,-1.0484552566061804,6.28253959560332,"['Aggregatibacter', 'Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
CCL8,6.896551724137931,0.047054187999024985,0.16443392871398405,-2.051930016202515,6.271632589202704,"['Porphyromonas', 'Neisseria']",2
GNS,5.305039787798409,0.012090427102843979,0.07368857466472681,-1.4149832059680854,6.247633771176958,"['Streptococcus', 'Shewanella', 'Prevotella', 'Aggregatibacter']",4
CTSD,6.896551724137931,0.16215108952713952,0.3819163024393799,-3.3973591554039366,6.1805665767179345,['Porphyromonas'],1
AKT1,5.517241379310345,0.010747444223449884,0.06808479444018005,-1.3603049365817999,6.166381031235547,"['Streptococcus', 'Campylobacter', 'Haemophilus', 'Porphyromonas']",4
CCNA2,13.793103448275861,0.016578885004772507,0.0899596882537445,-1.472803381360884,6.037942123371519,"['Porphyromonas', 'Aggregatibacter']",2
CTSB,4.056795131845842,0.10601021740711025,0.2938128008309133,-2.6852208632505086,6.0262258256784325,"['Streptococcus', 'Porphyromonas']",2
ID2,6.896551724137931,0.16215108952713952,0.3819163024393799,-3.1788804413578124,5.783104260845346,['Streptococcus'],1
LTA,9.852216748768473,0.027279320054658496,0.11693735196763609,-1.6050559773405069,5.78081193492092,"['Porphyromonas', 'Aggregatibacter']",2
FUS,5.108556832694764,0.013534767180670204,0.07911686633791766,-1.323949767853619,5.696285346437525,"['Streptococcus', 'Prevotella', 'Porphyromonas', 'Fusobacterium']",4
C5AR1,12.931034482758621,0.003696602059967051,0.03371510814977041,-1.0144032981569626,5.681004628166152,"['Streptococcus', 'Porphyromonas', 'Neisseria']",3
ADAMTS13,8.620689655172415,0.009272083059353729,0.06178185914160049,-1.2113469642719796,5.670008929294765,"['Streptococcus', 'Campylobacter', 'Neisseria']",3
IRF8,6.896551724137931,0.015497499598714387,0.0877964074182674,-1.3554251420957033,5.648160371373797,"['Streptococcus', 'Porphyromonas', 'Aggregatibacter']",3
CDC42,5.2246603970741905,0.0057169989909149265,0.04482963842875973,-1.0742878775023088,5.547956985711234,"['Campylobacter', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
HIF1A,3.284072249589491,0.14503083822276022,0.3819163024393799,-2.7719353770351214,5.352077445688097,"['Streptococcus', 'Campylobacter']",2
GNAS,9.852216748768473,0.027279320054658496,0.11693735196763609,-1.4322898108011366,5.158572753496127,"['Prevotella', 'Neisseria']",2
HPX,6.896551724137931,0.047054187999024985,0.16443392871398405,-1.6444969115666555,5.02633147426346,"['Haemophilus', 'Neisseria']",2
TNFSF13B,9.852216748768473,0.00183639796515358,0.02315301748223043,-0.794257066599902,5.003779213934327,"['Streptococcus', 'Campylobacter', 'Haemophilus', 'Neisseria']",4
FUT2,4.702194357366771,0.03713763051558721,0.1438523880814613,-1.5157377833462962,4.991513266005384,"['Streptococcus', 'Prevotella', 'Haemophilus']",3
IGF1,4.926108374384237,0.20994987027923667,0.4285643383795212,-3.118340588791603,4.867375695381457,['Porphyromonas'],1
GDF15,9.852216748768473,0.027279320054658496,0.11693735196763609,-1.3507596494353702,4.864931574289289,"['Streptococcus', 'Aggregatibacter']",2
CXCL9,4.537205081669692,0.009583324247713647,0.06287834174775382,-1.0418474179263244,4.842226279512335,"['Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
JAK2,4.137931034482759,0.04938661935520405,0.1707290120720226,-1.6051921390672206,4.828539555216615,"['Streptococcus', 'Porphyromonas', 'Aggregatibacter']",3
GAPDHS,7.389162561576355,0.013220649326440253,0.0790779303897775,-1.1130235811929456,4.814912552599361,"['Streptococcus', 'Porphyromonas', 'Fusobacterium']",3
RELA,2.826455624646693,0.048649069050087944,0.16954662004989998,-1.5899343608143495,4.806566508542949,"['Fusobacterium', 'Streptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
CD2,5.2246603970741905,0.0057169989909149265,0.04482963842875973,-0.9304696012278477,4.80523464169211,"['Aggregatibacter', 'Streptococcus', 'Prevotella', 'Mannheimia', 'Porphyromonas']",5
DUSP1,7.662835249042145,0.040013987771686736,0.14872250946355245,-1.478776158159188,4.759479796703992,"['Haemophilus', 'Aggregatibacter']",2
GNE,4.597701149425287,0.08771634417185933,0.2557896113492315,-1.936004959369803,4.711552724098106,"['Campylobacter', 'Neisseria']",2
