term,oddsratio,pvalue,qvalue,zscore,combined_score,shared,n_shared
IFI16,29.62962962962963,7.47421210768743e-05,0.013523602293377564,-8.543537139261318,81.17613409796783,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",4
IL15,5.446623093681917,0.004914510120411641,0.07210732069169871,-7.980909218210214,42.423027348153646,"['Campylobacter', 'Shewanella', 'Aggregatibacter', 'Haemophilus', 'Porphyromonas']",5
IL2,5.108556832694764,0.013534767180668289,0.12166305975163721,-8.033760374797984,34.56520225381647,"['Porphyromonas', 'Prevotella', 'Aggregatibacter', 'Neisseria']",4
CD86,5.05050505050505,0.00040759972097197523,0.020966929646798405,-4.267790422864798,33.31106425227046,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
IL6,4.306632213608958,0.0006492062353981655,0.023920378778731828,-3.601049315570221,26.430838148035672,"['Veillonella', 'Shewanella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Leptotrichia', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",10
UHRF2,24.691358024691358,0.0001215088475702252,0.013523602293377564,-2.9291402258506247,26.407732477467935,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",4
CD70,18.51851851851852,0.000272547963584291,0.016690318150923724,-3.1875047071185008,26.16206946309754,"['Porphyromonas', 'Haemophilus', 'Aggregatibacter', 'Fusobacterium']",4
CAMTA1,24.691358024691358,0.0001215088475702252,0.013523602293377564,-2.8579498594402817,25.765914057664794,"['Campylobacter', 'Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",4
IL10,3.670337003670337,0.0012230981678911827,0.029677438564303035,-3.356082237701225,22.507123052516512,"['Riemerella', 'Veillonella', 'Shewanella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",11
CXCL11,7.716049382716049,0.0013111972418009806,0.03011070808850109,-3.0711639551762833,20.38274588145088,"['Campylobacter', 'Fusobacterium', 'Leptotrichia', 'Porphyromonas', 'Neisseria']",5
CCL20,5.636070853462158,0.0008837992286514476,0.027721117269408818,-2.875670121562227,20.21964364710678,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Leptotrichia', 'Prevotella', 'Haemophilus', 'Porphyromonas']",7
HBD,2.5839793281653747,0.13355298245120817,0.45803686628840184,-9.579272542402016,19.28553757352024,"['Porphyromonas', 'Aggregatibacter', 'Fusobacterium']",3
CXCR4,5.787037037037037,0.003915875960250703,0.06141239615710248,-3.2952374523328665,18.264566108519464,"['Campylobacter', 'Aggregatibacter', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
FCGR2B,22.22222222222222,0.001117690408680525,0.029022718205559645,-2.6137017216454392,17.76399985646671,"['Porphyromonas', 'Prevotella', 'Aggregatibacter']",3
GNS,4.273504273504273,0.045937684836582025,0.21174144336861825,-5.7352894176134885,17.667384000540615,"['Shewanella', 'Prevotella', 'Aggregatibacter']",3
CD5,9.25925925925926,6.448193318716966e-05,0.013523602293377564,-1.7212199393991023,16.608267172261286,"['Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Peptostreptococcus', 'Haemophilus', 'Porphyromonas', 'Neisseria']",7
FOS,3.9215686274509802,0.001960909955765028,0.03820803338051251,-2.625138346156314,16.366022455015283,"['Veillonella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Prevotella', 'Plesiomonas', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
CTNNB1,6.172839506172839,0.019884634851128603,0.13674674020615712,-4.176599698537309,16.363115559373405,"['Neisseria', 'Porphyromonas', 'Fusobacterium']",3
IL18,5.46448087431694,0.000245467159605647,0.0157835383626431,-1.95526407323703,16.252834214182098,"['Veillonella', 'Shewanella', 'Campylobacter', 'Aggregatibacter', 'Fusobacterium', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",9
HLA-DQA1,5.291005291005291,0.07040532188680235,0.2829413873325869,-6.0610290084927465,16.08285818764076,"['Campylobacter', 'Haemophilus']",2
CCR9,14.814814814814815,0.0005245696611925365,0.021759948065610806,-2.125686394726137,16.055165482415738,"['Porphyromonas', 'Haemophilus', 'Aggregatibacter', 'Neisseria']",4
CFH,6.734006734006734,0.005846880903854347,0.07832384210788218,-3.087460182906507,15.875247690012149,"['Campylobacter', 'Prevotella', 'Gemella', 'Neisseria']",4
TNFSF11,7.662835249042145,0.00047979534668242976,0.021759948065610806,-1.955860801807821,14.946983398659624,"['Aggregatibacter', 'Fusobacterium', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",6
IL4,4.62962962962963,0.008955021052246095,0.09596797560990399,-3.1219353038943827,14.721613589500963,"['Aggregatibacter', 'Prevotella', 'Haemophilus', 'Porphyromonas', 'Neisseria']",5
DNMT1,9.25925925925926,0.007764245651213855,0.08814751504145092,-3.0157125608570188,14.65101309448233,"['Haemophilus', 'Porphyromonas', 'Fusobacterium']",3
IDH1,5.291005291005291,0.19761154537549633,0.5042231098271592,-8.994434500505156,14.584044415592352,['Porphyromonas'],1
TREM1,7.716049382716049,0.0013111972418009806,0.03011070808850109,-2.1732323237288282,14.423340089434303,"['Aggregatibacter', 'Fusobacterium', 'Prevotella', 'Haemophilus', 'Porphyromonas']",5
