	MK.1	MK.10	MK.11	MK.12	MK.13	MK.14	MK.15	MK.16	MK.17	MK.18	MK.19	MK.20	MK.21	MK.22	MK.23	MK.24	MK.25	MK.26	MK.27	MK.28	MK.29	MK.3	MK.30	MK.31	MK.32	MK.33	MK.34	MK.35	MK.36	MK.37	MK.39	MK.4	MK.40	MK.41	MK.42	MK.43	MK.45	MK.46	MK.47	MK.48	MK.49	MK.5	MK.50	MK.51	MK.52	MK.53	MK.54	MK.55	MK.6	MK.7	MK.8	MK.9	MK.A	MK.B.0002	MK.B.0003	MK.B.0004	MK.B.0005	MK.B.0007	MK.B.0008	MK.B.0012	MK.B.0019	MK.B.0021	MK.B.0022	MK.B.0024	MK.B.013	MK.B.014	MK.B.016	MK.B.018	MK.B	MK.B6A	MK.B6C	MK.EOG.001	MK.EOG.004	MK.EOG.005	MK.EOG.009	MK.EOG.012	MK.EOG.015
CD8+ Tcm	571.285936333997	568.797774023403	922.208212809283	463.758835389589	452.815058328092	790.212958855743	956.186378783793	1315.8936868623	1961.57071758323	908.669204077119	481.103280466898	426.194798641962	1942.32819012892	548.514781703289	1435.25220697219	493.005594699786	503.38643847793	448.01851837647	496.363071815137	453.783930186155	489.333467331827	504.556186613408	306.781661693647	660.546844876722	291.470409795206	494.997903386402	1974.53344746091	447.202811807448	477.956746067443	590.873935903874	413.250668266645	1300.45532647922	966.859456475285	535.469430999805	424.574398615306	681.444912524507	1122.12347261368	642.221188736163	653.41934461434	561.675289993016	1768.89700011081	438.477738792111	396.143425204951	629.043518514309	276.493324200345	604.707053036567	467.079356049455	444.660243814241	952.092223653311	451.700121426927	1169.977001436	455.158217943881	481.121027167051	615.33311295817	395.260876097225	572.344188111448	545.129045571147	358.491274619376	353.428895729941	423.938126047494	1374.9071609813	465.186504573663	768.93878627147	692.06769056295	711.897507560783	673.659335815196	942.588874554889	606.04474439087	435.59279980562	1439.90784663109	1167.90940897979	727.615506276611	529.350379410855	2109.19699496251	486.004235169334	765.965142151386	465.105057535395
CD8+ Tem	585.586930930066	453.307654101055	832.090101729898	269.67451678526	277.591306468104	663.515198756395	933.175031512411	1286.92106364544	1860.83277429143	620.978421033895	132.610237650762	317.939803576448	1834.57501227908	272.606322216267	1281.8202081946	311.110897797508	556.081678768202	227.046575756536	269.256368119417	60.3874698999815	224.532193152932	225.915797265329	380.929212564154	157.854548605518	392.94721513246	547.75504384027	1794.54242345508	247.658954621347	488.552863287474	444.904056812624	332.986705572977	975.761664143871	928.67173919985	432.095627380905	462.883754162335	705.660668571346	1262.47598819027	703.366465991915	610.134832949414	403.130789058994	1702.60323415554	312.574451853713	253.559736616879	670.375478154295	499.282970291566	347.948734562306	401.330788200616	241.937898382031	862.248746609339	360.59708791353	948.113624120569	347.906337379631	402.690221616401	417.303027535044	299.652203131356	227.641628707044	346.213170856507	328.776785282169	396.785416819616	271.755601580756	1379.3663721449	313.217082451768	826.73464042857	734.130839986044	590.196605387572	371.378626498975	775.247507126776	280.456358635824	466.678340147709	1420.71839900407	671.972972562649	419.329846163835	181.741938429854	2004.84869640601	677.96963111567	647.412521628341	281.930353110439
CD8+ naive T-cells	436.804008401135	523.342067605945	532.519142208445	819.289217393521	705.650040356286	576.421037311438	39.4866756546267	547.031744256068	662.631505535022	454.223333268268	368.543772116513	809.914242815829	551.667825357039	761.599106100597	570.200640577238	814.804280381986	497.455322053538	488.813520710829	303.673702033267	239.949298955718	786.244419328884	507.757709396988	930.491418107825	620.272193622304	344.914314980085	302.587062651103	602.798915039797	806.531187171207	305.352819145044	271.860469103069	633.831898009898	661.709922958937	406.17732404947	691.000674764444	413.94009498449	598.71575253585	321.405886864719	401.291337328532	443.597075598589	397.565199204452	622.895734548056	259.760971589061	272.440668707768	224.35317231606	546.732542728629	731.079064159592	359.407656547135	475.949903709606	532.914316102573	769.580546653466	558.905554355445	829.098979181296	482.986061420862	269.461176200273	715.334784771328	626.105129734926	713.267742800097	314.842450843746	883.10193878132	800.245576921522	378.02721580761	699.052881776307	475.928996645013	245.674073664614	574.797166157425	293.160489870853	604.586047121259	551.603219199153	552.387160219668	750.041786756316	1110.00019480121	296.39707777304	366.58697093936	527.850570026177	1108.62684023652	402.707155903901	563.360116626201
CLP	768.449474042549	1182.32333383312	1046.70358272751	865.830788517665	687.36696016141	684.487842289455	406.23528131966	1133.17893785292	702.085049187812	828.340741351081	736.860230640833	763.777991841456	168.376826826543	278.974614461508	993.873283616555	812.04814013594	624.537514036922	957.250251456963	747.181762273408	602.053210599032	843.589372507923	819.269003868254	845.265212835211	687.905138142524	618.28842359182	113.811625524661	607.227476587176	670.712683530437	903.154342967641	517.988148689242	371.705341506672	675.66348991689	1079.98143653902	1001.62552752403	919.585534481818	863.403438057018	916.100020088942	1076.19857012592	793.806898658829	738.017495561139	590.343101548711	1119.94946112831	635.901120013956	389.769391219539	365.862900547221	425.47611206265	509.21779090963	964.816692750137	970.276166285278	1006.4636127849	611.35809035036	706.169092856877	672.210876296456	960.822476410311	767.371073116003	635.302879778614	1054.61878635079	750.608938108777	716.856465156732	1121.12964682044	804.726837393184	989.808186913698	698.556462339758	806.344406909264	707.66121828436	681.328683739611	984.177209714962	800.062059825538	676.140995606982	479.087192595115	1072.00890648052	1052.5382349887	683.27353979489	417.720181071441	639.58104059286	745.597943099323	847.243597720731
CMP	710.868038299008	244.680779353577	891.628753121651	417.257562011889	333.499128949773	211.697257289698	848.251276699242	539.887762347679	757.592866926906	600.630488544999	458.995876487758	363.987036061159	1151.82596040004	803.279630587889	1111.43650158762	342.565178130714	215.975502218626	348.79232194791	604.760035287176	234.672352345604	281.28578008918	613.133908910778	425.153025959501	510.788940708207	511.191289774764	705.095897748653	655.259470628345	602.431049747972	682.826591753252	934.112908213984	446.799511850589	825.704926860299	678.895417382085	712.653684296936	241.21169315223	282.968763255414	423.585581410005	757.96674016265	353.533261731069	711.725742045247	564.890774179307	384.623371837167	398.2887673686	691.189537112391	397.470892257718	664.044030090594	554.535691449681	377.625053753039	518.921256055932	329.416034879291	412.044023573453	516.413952182676	512.678744691573	455.15839104487	365.480163439706	626.980563097552	612.303172521097	862.940648006127	699.58303210649	318.232983504548	612.603049905426	350.885798916099	682.974992997597	957.629078061526	1006.00404657342	1456.50661465534	811.831358951685	692.809690529645	674.213311847828	1086.31423037969	1274.02203819915	422.832416929493	915.11554054781	1347.71007551587	990.390233885978	355.701364505009	633.678603034111
Chondrocytes	1855.4571404184	1183.97286088061	809.87866402988	1993.15239317939	1703.10576299194	1656.25036862298	833.781311419868	745.224832070842	607.477330353752	592.527977528992	814.300026704364	1749.34449408924	156.606068002348	2189.12672425172	562.258386447963	1714.55295572943	1912.65609898663	1009.80181186848	1153.09720278047	1374.66992664903	1671.2321258275	1334.98939360186	2112.38456632717	900.15456020949	1407.32406370227	1437.23348355829	1221.04791262054	2174.12282398121	884.352276667765	837.256020753144	2026.18321224943	1422.90353870832	865.159093467189	1710.9480327982	566.201978378479	978.416546885989	511.119265923646	854.626621903763	1320.20779856275	1054.33223814311	933.658232329257	633.930087549723	1081.65025284136	1455.4974362007	1263.94076386304	2104.6829271589	1609.4838845622	575.11421767197	669.649556043845	1410.38677522115	1618.01193605959	2124.18078723031	1465.54899585315	234.73465735125	1518.5070363457	1822.23740420026	1047.18846993188	1529.7326719967	2191.00239756471	1100.91356606485	215.15931184743	1605.16868640011	1045.90727021178	1208.19695421276	1119.3884162038	1615.59965035842	1429.30924661013	1365.62230517069	1880.02862046764	1510.33842039797	1011.41632399466	515.009418309656	1023.80320472977	707.003499409582	1926.7068639971	675.260603737723	1633.10862429288
Class-switched memory B-cells	545.759717395533	569.99423084366	566.181185634359	474.390928372562	485.998560543272	683.069489866139	1501.68795317886	915.367943498337	1434.16939717172	562.032267621278	210.201853595802	473.285711615496	1871.96273708136	480.265127451343	1398.96004946799	596.540584860865	777.47028501344	505.192004039654	726.181425751687	359.610966788259	880.501508850651	372.411654859222	598.496243751084	457.4122570077	616.597776388602	649.364584519384	1126.38158348179	456.712926308926	527.270118722335	674.249069802464	626.197505999585	1055.49614930303	669.677996294435	635.550924120577	304.855497828956	561.824156472743	908.740992227472	418.103163827145	660.692586865562	628.868782626874	1560.32447232738	336.454304134342	460.104382155133	955.063182948233	433.947193359119	650.538377375606	627.444295826429	230.89619101041	657.375853398695	598.669536367976	1029.90205806979	599.136167413558	1020.87088729925	505.916316662784	674.358782547117	431.094314834305	899.64180979866	639.690193215255	650.190981769299	577.381499475454	857.986085979246	434.35964114472	521.518066328431	864.47489822539	1106.53851234372	663.975945249452	724.043270766092	753.369873136142	818.195776944482	1228.47216585107	1367.69231547473	404.529152726855	501.513342712904	1876.44751380081	602.204075008348	520.41025441155	590.552497194838
DC	860.370940770061	1546.56886322294	1677.38126629504	727.213195451282	723.622916053529	1769.49560654594	1371.82501224874	2167.5671605577	2935.87443252926	1220.66265687327	335.497581882422	602.135828589066	3362.42911848722	1069.97614333556	3046.10252427109	560.13718668898	1556.20813126097	633.93468036277	1170.69786364535	463.485061144557	1239.86803046277	889.516221144073	1060.79777091701	1075.18394583723	815.749292878236	697.082987446464	2829.05068698499	1219.29757829355	1072.4128072877	916.448202674209	791.585880630188	2206.24536519227	1739.99511072108	1336.49709343116	247.367591693842	828.201409916157	1794.61957074942	981.555400897281	1097.52665908717	746.112209563301	2510.66214239519	734.884443322303	480.005203684462	1048.54245388608	243.853957350921	843.313267322917	1460.27270884371	207.501668563974	1872.04977458211	619.871939607338	2266.4279060324	1502.76959770317	1345.60917557698	1053.00824415774	570.12679022889	654.024617673593	1602.36415954237	1785.7503907762	1322.8843915442	781.866641230297	2134.31767883371	732.357083678511	1985.30975932667	1986.7740223764	3050.3898191777	2179.82233864172	2028.32991258153	1587.18476256133	2857.4472299671	2560.31313112317	1523.2577119961	950.475746991769	609.22464839285	2355.16438321634	1143.06532932063	1512.63757298618	1099.87880495557
Endothelial cells	2428.60573776059	946.36636119926	1521.33290524822	1592.30828483594	1665.01158348629	1515.48700910914	1436.13620558066	1155.46346061273	1041.76447345427	706.588658208741	556.906634971895	1170.48556159501	1822.61934522335	2494.16261773642	868.230346580539	1724.48773611326	2064.08299623344	1059.34505895702	1543.57267311728	1065.13559951184	1772.54835323366	1621.21686699285	2045.71309887693	873.044657413579	1518.11163709866	1727.94006364426	1998.87406714201	1792.1081330227	1295.34695481153	1505.91668706285	2018.12199368285	1514.79191001571	1315.78160769628	1850.02559274503	1225.4220515254	877.244503621829	600.951440859152	1484.20127276504	1546.17747194969	1557.22183269143	1251.14090156093	1274.96211325766	1249.57508153801	1529.57505010353	1807.8723073362	2127.44832484374	1896.89551914447	810.220206088357	1283.99676154477	1215.88073379608	1111.69181600409	1829.57204834293	1484.6453508541	1025.84532293052	2067.60512416356	2058.70241611641	1275.38247219317	2606.38317910066	2929.97205294199	1296.36976596638	1028.3933406634	1677.31864179769	1881.61478888385	1872.92724195202	1631.63029224304	2144.83672303916	1560.13678062509	1357.19566730976	2786.67164993095	2058.34657923657	12.0123606901613	691.536472298876	1694.84321796796	1724.28933426391	2560.96857807531	920.219614504972	1576.75411028176
Eosinophils	490.218236015467	728.456903404228	438.352849788549	382.800205906502	675.8149751167	638.306836978766	645.483526331782	332.743756560249	552.699568222343	486.780317616801	555.896211988983	557.487689202136	1444.28268261405	499.436636370798	707.246067099577	648.255950959702	673.359661800107	524.627038597026	496.474590227423	712.348465947734	602.613657736132	544.356685645364	614.511033944417	451.196295813751	767.303521141093	1055.51044832241	665.093379339151	645.091470923598	799.968723530361	473.310885412352	666.555422876427	483.660711704418	740.139534022038	805.049212169048	550.161340055442	519.794430039635	622.305427691953	773.613857337181	729.355690447513	664.871644516678	609.400039582539	312.834975033192	775.484880957362	783.76130538927	883.522607328784	395.722498247856	559.703993046038	740.563505293253	501.292721584039	414.228076232266	458.19494053091	443.932245261179	467.14050883728	588.018752226702	524.502049804254	425.283056129894	483.161001922788	806.103366291686	715.127164547834	457.927265478422	541.297650454937	493.888875033091	503.513806240403	752.758853545526	906.875249637695	418.045723051251	498.372692272016	421.992420616665	697.396757607583	548.779663319626	583.199251189494	621.058198093851	680.701952498567	716.982320325532	536.317513934755	519.829907560454	695.897709373189
Epithelial cells	3576.47498543026	4745.33319346189	4373.99960717904	4107.39868155209	4466.48734707705	4394.79899744036	3834.25153828006	4027.28174672149	3769.34294536277	4894.82386643489	4562.97252500575	4663.07428692392	3414.4487866291	3270.02492310036	4233.49583583267	4425.39129832013	4412.88485587903	4789.94767628486	4651.6331759717	4412.77112805851	3936.49228190768	4711.99699854476	3786.53654955868	4785.99862256289	4801.24406697344	4907.37246237945	3720.34616295866	3490.13689289529	4871.20962348713	4583.15142555804	3999.50330834562	3606.85885192184	4502.89794963445	3635.76654596768	4717.03055156938	4618.46798340131	4336.98409139394	4782.26785147223	3999.50256747436	4734.13219013973	3772.768455391	4773.1490451305	4621.75608010876	4548.48477659406	5051.97605078519	3873.72694958824	3925.61996851806	5164.44519415903	4568.3001466579	4624.42930067627	3740.04383097838	3429.82478907198	4248.94893979739	5084.17073313865	4486.93486652385	4345.81665302173	4710.74578838924	4107.32434451958	2786.98520782638	4477.77455162239	4174.32308268428	4530.39497225803	3492.98520479362	4050.47630069759	3665.92098400272	3764.66197395758	4346.51248660569	4700.9672146092	1709.47931352425	3279.50478768925	2784.14967976988	5028.97205510502	5020.06577899758	3973.60579813315	0	4866.64592927533	4582.9015930735
Erythrocytes	1610.81812441647	1637.38887864573	1302.59007530159	1270.62025556387	1208.37089364184	1169.10318156002	804.25563954226	1421.26330184715	1092.11864395529	1792.0856016453	1279.33157333382	1528.4657509248	1469.45967619701	1334.93478511991	1210.14489581255	1339.21655236177	1233.37652821117	1357.74384655006	1191.21898931975	1195.15180817481	1249.03293029681	1435.80643514106	1470.82627265515	1662.71345632503	1365.28025539488	1668.17533654935	1279.39572872873	1293.54988456416	1207.0361877663	1489.34191580725	1070.33333914486	1194.17279100038	1729.55573909598	1199.16957581144	1745.35372245067	1429.62142244736	1177.80317410293	1294.24917710269	1568.66869252941	1223.98621750014	912.142087798211	1623.09284838114	1250.70688465172	1035.01210186346	1562.42580934583	1234.36007388065	1008.12465413741	1529.83803701183	1542.60569097094	1731.54007866502	1099.97158908806	1459.14430264307	1127.52627584049	1386.38083253794	1325.91639947058	1194.48008428613	1607.9330690847	1231.61762083789	1160.3935920443	1642.30853271428	1221.16294847367	1188.360761278	1555.77048393921	1176.35476471855	1365.74976867868	1104.56557951898	1547.37860499087	1239.77664257287	1158.69691087686	1193.95920636805	993.149122370587	1026.59026245667	1197.922194133	832.496410393461	1175.94654282021	1733.49205880511	1065.69549337304
Fibroblasts	854.583221351601	363.26470210794	442.274063336635	959.601241872823	827.549325023592	729.298231217938	692.098826038885	433.289287230952	323.998166749309	241.652665654632	474.019728186358	714.240270093727	517.291832130059	1318.73511292948	215.222385357481	773.446931612197	752.216564938085	536.14666121185	655.161212987988	749.928907649291	804.189358332302	623.604972620197	997.729681579414	436.091906823128	396.147349448242	716.757849061349	892.695139783131	1160.92339957005	273.589901031707	482.237614112821	1003.69719712744	905.143523896639	270.343632086566	850.912197999388	400.845133459095	411.793866139421	313.358795890081	363.949691999831	610.468831150723	668.110962736603	606.718862752465	304.381461267458	638.793711186431	682.216847480874	375.721851214983	1093.70116490028	818.818876657259	185.699953635315	260.852202477649	563.918643947123	734.45613966706	1036.08624213404	590.254542507327	247.699885810033	711.801539666154	771.195872570831	620.096488235375	828.171893434371	1141.38366582634	569.685920370699	282.249093552325	717.81494987771	697.121072659826	629.904183546172	1064.87606318939	901.933623738755	585.876524955799	857.781264305649	1067.01003592183	907.080829137156	899.093839067988	266.630369757456	622.968762358281	529.5506682211	1231.87228794248	136.510069969869	962.124335578333
GMP	1323.12113573415	1104.825956825	1715.60003351124	1084.42977338226	882.316931497124	1205.12881571152	1559.17547281435	1579.96783286412	1817.57250185498	1342.34898149926	889.30102964795	859.212816150063	1649.34911445012	1245.5524789796	2206.50531613861	903.710584608915	976.228097962598	935.448498691825	1125.99588016372	759.055670856129	938.881762544254	1225.17833746815	897.61388925461	753.684246396727	1038.50863475025	403.090568604443	1597.17652602863	1294.51794059935	1336.66071734617	1764.23354005312	817.799380097686	1760.15297005359	1784.56626506315	1370.69198012916	810.116932812386	876.05976947472	1164.72769160122	1529.92732188361	1021.83898701519	1198.96546095194	1444.52452070614	1174.95583008065	783.916256457438	1258.03212045973	756.82402072938	1206.84903505649	1284.80725454755	721.641147193662	1491.95827749185	917.813781404087	1348.7928445001	1120.25578862445	1263.77022304004	949.378179885732	1069.32958118636	1103.95256925435	1171.2527673059	1504.15626291339	1104.29328618813	983.146450207638	1464.43244522294	853.99512114912	1595.23157630677	1896.34007472477	1835.21174804171	1958.36458282928	1710.17021926619	1332.65695979378	1357.94659132731	1985.35269118452	1820.81678131443	1011.58085944132	1322.47731593766	2143.79075739218	1251.38925085122	1026.99043342476	1039.31734978736
HSC	1785.64903317138	807.906990632917	877.375613357842	2009.73371501425	2024.67323048689	1366.15523122522	569.800765991432	794.605660157479	595.158398666182	308.486258350598	1078.4269644591	1217.20959332851	451.900711044813	2443.81573546169	410.484820023412	1756.9587128855	1582.96574588758	1248.38269473515	1910.89619949948	1483.85559675224	2207.82953958877	1714.09995013443	2237.88107286726	386.807484467704	879.10794137334	1069.9337915551	1391.59825811036	2583.26773697318	450.382504193937	1326.09012004496	2224.99867873103	1307.52421685443	771.192015409303	1877.13288529062	758.783607366663	1017.79471428599	500.150596940905	899.187695355699	1044.49017826556	1562.09191680579	764.594053607738	717.235554955864	1200.93804502106	1051.20668388782	790.772857242564	1793.31017836115	1437.67160029706	533.219788731187	545.430134159879	1019.25335380039	1494.51020980603	2267.19358257945	1466.54860503019	710.16554627224	1686.98477662454	2055.93949379142	1591.48286976241	1855.67245050319	2878.28613683165	1494.02173163065	311.198036300244	1642.99142012077	1057.01227895352	1047.3886067214	1067.09869540532	2232.91538684914	1126.08986605514	1666.85815915068	2204.75875260766	1298.76920621422	1115.63291978809	732.303284318088	1570.29907870415	810.20251224944	2546.3991879055	515.52784537413	1861.95850200027
Hepatocytes	772.373482890671	663.929678637076	569.573358757436	984.445434009345	900.289830881171	914.12675382326	839.390129117129	484.503883455665	818.044994027223	775.639234683955	1007.91486329375	796.567281089057	1485.63282569521	1425.76169696776	879.04513167223	963.205149466868	806.327613012009	646.338738211373	859.00999103372	1191.05601688822	1034.53019687804	717.244811821469	1046.77314322299	536.830941649383	567.99496097552	583.672521601088	1182.01712227348	1103.08782024799	565.773124152881	431.206042184493	1185.65503394511	683.058118055289	609.973884761434	1053.1644462096	0	504.303325536166	588.913595256625	591.503105272918	483.204097681536	876.715731990172	921.138248460578	339.983486118771	1050.68857565396	826.862266128029	572.488170591792	1015.13223780587	602.574732056487	633.49231472946	469.370921625178	623.676564945231	737.324056174933	1270.34434015698	846.114203114473	659.539318395375	859.966710507741	1292.19274715319	695.077582906344	949.558521357682	1348.60757930015	956.682816421676	776.24960186085	920.068714419454	565.673071862759	761.258249643597	1236.83615442887	1162.31334119368	644.150059660844	1023.85471748543	1442.1113811003	957.294887706119	1240.98342437802	792.599013773312	998.186887447905	840.402174943148	1670.71338718359	486.708824345668	1590.55706558589
Keratinocytes	4937.0632878705	5776.09571629183	5621.29603836733	5218.42197446138	5375.45190531544	5415.25701698025	4722.91373490774	5395.63738116543	5042.07128354131	5880.95051483944	5159.1462032827	5774.57205586537	5064.84676467169	4737.02059834377	5440.49926264983	5452.80885780768	5547.02398525549	5865.4947574956	5628.96917779305	5052.72916650615	5049.53185517029	5769.58104741904	5169.31311504253	5791.08732225284	5840.23972040338	5864.48655593439	5089.19423092182	4580.3707509613	5873.94088615092	5696.06159734445	5161.92106148923	4986.82881256893	5527.79720715642	4840.25119787263	5887.67343520613	5721.60726964548	5396.72683466239	5819.51690546247	5350.56186487121	5511.55348946735	5040.81069427356	5870.35201167764	5459.64562508157	5582.94794507897	5875.60029526277	5181.05741621015	5219.47730581078	6116.99331777405	5810.22508276701	5766.33146936586	5099.96249613093	4713.77159061073	5274.33249489629	5694.7189137825	5703.36999487837	5418.62032985471	5533.33708829801	5275.58446541579	3935.80363147258	5590.79541172145	5409.08383780805	5515.82143992404	4992.64906351151	5253.08234425608	4819.72671702588	4997.26491258208	5538.51395017888	5470.93353328372	2635.47353837796	4825.67131934242	1633.63779888122	5701.45083993127	5649.18216492343	5095.25805832152	0	5908.73251742564	5319.31678100974
MEP	831.33715515719	878.768265109321	744.053346410495	681.533023126223	427.433278992002	394.779636267696	348.102774315814	869.776522415367	478.303313860729	650.842772409638	444.888721359312	558.93867778092	733.479968538474	548.479957390164	571.441400810948	602.503016505251	384.84438434295	479.109532369071	602.79110284357	295.318541052736	474.200325925443	573.882817115467	610.323360303434	504.483817302393	741.218906298802	949.394478237097	494.488166986483	611.507962694087	715.122137857099	938.305592317655	336.918571074578	365.449397115276	816.861969008873	641.51490354074	1059.02610454976	626.059880854961	741.246140687426	1028.25413510401	657.693231364601	445.168392447345	293.057642030103	963.230253861712	370.213741212251	538.640230238721	583.485335099416	515.926374446014	615.405915845617	677.278983699974	886.610530617345	674.654190228876	390.476184465719	675.336677068381	603.090545562004	573.119372394378	534.704406659707	694.251996181228	694.855460269138	703.266432336829	716.763176681061	609.957708768588	500.64583417729	402.354826167729	848.663517329437	710.934393763557	599.966832923762	813.940385994419	667.433861429242	527.9647494254	367.196187919808	512.035082138628	596.62321956986	622.864654968683	835.163952940999	427.762384114686	1148.503188563	803.819595072731	437.638189066489
